feature,model,accuracy,precision,recall,f1_score
BoW,AdaBoost,0.9950777029599628,0.9951001758067454,0.9950777029599628,0.9950783898814212
BoW,GradientBoosting,0.9961245454935558,0.9961387055308009,0.9961245454935558,0.9961249797167386
BoW,LogisticRegression,0.9964140926700782,0.9964152666226799,0.9964140926700782,0.996414127540006
BoW,MLPClassifier,0.9946545726219382,0.9946552200155956,0.9946545726219382,0.9946546640152218
BoW,RandomForest,0.9985299924024653,0.9985308373004663,0.9985299924024653,0.9985300327180797
TF-IDF,AdaBoost,0.9947881508225951,0.9948068590304512,0.9947881508225951,0.9947888208935746
TF-IDF,GradientBoosting,0.9958127290825338,0.995824472498491,0.9958127290825338,0.995813149251864
TF-IDF,LogisticRegression,0.9896432234481297,0.9896522746882133,0.9896432234481297,0.9896439889364347
TF-IDF,MLPClassifier,0.9928281878205791,0.9928298438830183,0.9928281878205791,0.9928279344225533
TF-IDF,RandomForest,0.9985522591565422,0.998554670669461,0.9985522591565422,0.9985523261643785
Word2Vec,AdaBoost,0.9269009128203374,0.9270134961815003,0.9269009128203374,0.9269154978449745
Word2Vec,GradientBoosting,0.9464563590719349,0.9465481020581746,0.9464563590719349,0.9464682251141505
Word2Vec,LogisticRegression,0.9573477783226438,0.9574176416379565,0.9573477783226438,0.9573565171357409
Word2Vec,MLPClassifier,0.9851218495221838,0.9851495531295384,0.9851218495221838,0.9851192064682512
Word2Vec,RandomForest,0.9579936481336928,0.9579961628640461,0.9579936481336928,0.957991936668116
BERT,AdaBoost,0.9538508363117009,0.9538886568415137,0.9538508363117009,0.9538552315019461
BERT,GradientBoosting,0.9702882102287171,0.9702995235342502,0.9702882102287171,0.9702868154941344
BERT,LogisticRegression,0.9924718230188679,0.9924755227517466,0.9924718230188679,0.992471546614885
BERT,MLPClassifier,0.9950777327250344,0.99508162005943,0.9950777327250344,0.9950774278150508
BERT,RandomForest,0.9693304868003068,0.9693963706977984,0.9693304868003068,0.9693197487048412
Linguistic,AdaBoost,0.9451868440367293,0.9452583471764541,0.9451868440367293,0.9451931001226594
Linguistic,GradientBoosting,0.9618913941984403,0.9619412561408032,0.9618913941984403,0.9618973844158483
Linguistic,LogisticRegression,0.92111010323271,0.9215010278707148,0.92111010323271,0.9211432749404096
Linguistic,MLPClassifier,0.9590180626857372,0.9605351802868022,0.9590180626857372,0.9589783720018017
Linguistic,RandomForest,0.9722704350239646,0.9724374244617193,0.9722704350239646,0.9722548165539987
